State,Immigrati,Emigrati
United States,40089684,2234307
Russia,11792769,10090212
Germany,9778829,3403769
Saudi Arabia,7166291,168509
Canada,7013910,1158387
Spain,6896159,1311421
United Kingdom,6794529,4561314
France,6493705,1688519
Australia,5427007,429255
India,5337042,11053690
Ukraine,4932326,6001558
Italy,4359515,3378098
Israel,2724056,277516
Myanmar,2301379,1478326
Japam,2173318,741322
Iran,2107945,1289333
Jordan,2083870,318750
Singapore,1878916,280523
South Africa,1862890,849689
Switzerland,1467667,396699
