qq,creditor,debtor,amount
0,Brazil,France,11
1,Brazil,Venezuela,1
2,Brazil,Germany,4
3,Brazil,Japan,15
4,Brazil,Hungary,1
5,Brazil,Algeria,1
6,Brazil,Greece,1
7,Brazil,Russian Federation,2
8,Brazil,Lebanon,2
9,Brazil,Portugal,52
10,Brazil,Turkey,1
11,Brazil,Tunisia,1
12,Brazil,Lithuania,1
13,Brazil,Cuba,1
14,Brazil,Thailand,1
15,Brazil,Netherlands,1
16,Brazil,Philippines,4
17,Brazil,Romania,1
18,Brazil,Egypt,1
19,Brazil,Poland,1
20,Brazil,Switzerland,2
21,Brazil,Colombia,1
22,Brazil,China,4
23,Brazil,Yemen,1
24,Brazil,Canada,1
25,Brazil,Peru,4
26,Brazil,Italy,62
27,Brazil,Vietnam,1
28,Brazil,South Africa,1
29,Brazil,Argentina,1
30,Brazil,Austria,2
31,Brazil,India,4
32,Brazil,Ethiopia,1
33,Brazil,Ireland,1
34,Brazil,Indonesia,1
35,Brazil,Spain,6
36,Brazil,Morocco,1
37,Brazil,US,14
38,Brazil,South Korea,3
39,Brazil,Singapore,1
40,Brazil,Mexico,4
41,Brazil,UK,1
42,Japan,France,87
43,Japan,Mongolia,1
44,Japan,Morocco,1
45,Japan,Brunei,4
46,Japan,Germany,64
47,Japan,Jamaica,3
48,Japan,Algeria,1
49,Japan,Brazil,4
50,Japan,Greece,3
51,Japan,Russian Federation,14
52,Japan,Lebanon,3
53,Japan,Portugal,23
54,Japan,Turkey,7
55,Japan,Tunisia,4
56,Japan,Cuba,1
57,Japan,Thailand,33
58,Japan,Netherlands,6
59,Japan,Nepal,29
60,Japan,Pakistan,12
61,Japan,Philippines,32
62,Japan,Romania,1
63,Japan,Canada,7
64,Japan,Switzerland,3
65,Japan,China,153
66,Japan,Egypt,30
67,Japan,Islamic Republic of Iran,2
68,Japan,Italy,133
69,Japan,Vietnam,2
70,Japan,Israel,1
71,Japan,India,137
72,Japan,Ethiopia,1
73,Japan,Ireland,2
74,Japan,Indonesia,16
75,Japan,Spain,14
76,Japan,Peru,2
77,Japan,Kyrgyzstan,1
78,Japan,Myanmar,7
79,Japan,Singapore,4
80,Japan,Cambodia,1
81,Japan,US,106
82,Japan,South Korea,67
83,Japan,Malaysia,1
84,Japan,Mexico,7
85,Japan,UK,62
86,Japan,Austria,5
87,UK,Bangladesh,11
88,UK,Belgium,1
89,UK,France,74
90,UK,Djibouti,1
91,UK,Denmark,1
92,UK,Norway,4
